"id","name","code","nomenclature","level","version","tunit_code","tunit_name","processes","sources","y_2003-2015"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT211","Klagenfurt-Villach","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","1256767.12"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT212","Oberkarnten","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","4403.06"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT213","Unterkarnten","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","248826.45"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT221","Graz","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","1480642.0"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT222","Liezen","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","588117.0"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT223","Ostliche Obersteiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","163753.5"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT224","Oststeiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","5372.25"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT225","West- und Sudsteiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","299165.75"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT226","Westliche Obersteiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","142505.62"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT311","Innviertel","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","367404.87"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT312","Linz-Wels","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","3246222.0"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT313","Muhlviertel","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","4370.13"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT314","Steyr-Kirchdorf","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","2103608.5"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT315","Traunviertel","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","121001.71"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT321","Lungau","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","0.0"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT322","Pinzgau-Pongau","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","4375.37"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT323","Salzburg Und Umgebung","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","606597.5"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT331","Ausserfern","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","0.0"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT332","Innsbruck","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","94331.36"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT333","Osttirol","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","133204.76"
"403","FDI deal value in manufacturing","man-vfdi","NUTS","3","2013","AT334","Tiroler Oberland","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","0.0"
