"id","name","code","nomenclature","level","version","tunit_code","tunit_name","processes","sources","y_2003-2009"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT130","Wien","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","37083192.0"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT211","Klagenfurt-Villach","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","990208.5"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT212","Oberkarnten","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","4403.06"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT213","Unterkarnten","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","122971.03"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT221","Graz","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","1058253.0"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT222","Liezen","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","0.0"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT223","Ostliche Obersteiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","38376.5"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT224","Oststeiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","0.0"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT225","West- und Sudsteiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","222194.54"
"400","FDI deal value between 2003 and 2009","b09-vfdi","NUTS","3","2013","AT226","Westliche Obersteiermark","","1-Financial Times (FT); fDi Database : www.fdimarkets.com | 2-Bureau van Dijk; Zephyr database : www.bvdinfo.com/en-us/home","473457.4"
